[2025-07-07 12:57:59,257: INFO: main: This is an info message from the main module.]
[2025-07-07 13:50:35,116: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-07 13:50:35,154: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-07 13:50:35,157: INFO: common: created directory at: artifacts]
[2025-07-07 13:50:35,157: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-07 13:50:35,157: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1-iuEX-K5uN72fjELvZk7LardPMBNKm5T/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 13:51:01,726: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1-iuEX-K5uN72fjELvZk7LardPMBNKm5T/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 14:07:16,997: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-07-07 14:07:16,997: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-07 14:07:16,997: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-07 14:07:16,997: INFO: common: created directory at: artifacts]
[2025-07-07 14:07:16,997: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-07 14:07:16,997: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1-iuEX-K5uN72fjELvZk7LardPMBNKm5T/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 14:07:43,241: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1-iuEX-K5uN72fjELvZk7LardPMBNKm5T/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 14:07:45,898: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-07-07 14:39:01,764: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-07-07 14:39:01,766: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-07 14:39:01,767: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-07 14:39:01,767: INFO: common: created directory at: artifacts]
[2025-07-07 14:39:01,768: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-07 14:39:01,768: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1-iuEX-K5uN72fjELvZk7LardPMBNKm5T/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 14:41:33,642: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-07 14:41:33,644: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-07 14:41:33,646: INFO: common: created directory at: artifacts]
[2025-07-07 14:41:33,647: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-07 14:41:33,648: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1-iuEX-K5uN72fjELvZk7LardPMBNKm5T/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 14:41:59,834: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1-iuEX-K5uN72fjELvZk7LardPMBNKm5T/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 14:46:57,104: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-07-07 14:46:57,128: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-07 14:46:57,130: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-07 14:46:57,130: INFO: common: created directory at: artifacts]
[2025-07-07 14:46:57,130: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-07 14:46:57,130: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/10ifKJz5We3aGoufhdgbzf62GJXZqlUqy/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 14:47:08,369: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/10ifKJz5We3aGoufhdgbzf62GJXZqlUqy/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 14:47:09,166: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-07-07 14:59:49,926: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-07-07 14:59:49,928: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-07 14:59:49,929: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-07 14:59:49,930: INFO: common: created directory at: artifacts]
[2025-07-07 14:59:49,930: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-07 14:59:49,930: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1JLzLPgYo41Jrm6-Au7ZUd-Zgfm5-F4NP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 14:59:57,060: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1JLzLPgYo41Jrm6-Au7ZUd-Zgfm5-F4NP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-07 14:59:57,463: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
